"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1,732933950E-1;2,355000019E0;5,140999794E0;8,690999985E0;1,036867324E1
1,757822410E-1;2,355000019E0;5,136000156E0;8,767999649E0;1,043083604E1
1,782714720E-1;2,361999989E0;5,045000076E0;8,718000412E0;1,034575280E1
1,807601640E-1;2,312000036E0;5,107999802E0;8,687000275E0;1,033929301E1
1,832493320E-1;2,313999891E0;5,026000023E0;8,715000153E0;1,032310512E1
1,857383320E-1;2,349999905E0;5,089000225E0;8,802000046E0;1,043530678E1
1,882275630E-1;2,361999989E0;5,066999912E0;8,583999634E0;1,024395342E1
1,907167170E-1;2,289999962E0;5,026000023E0;8,579000473E0;1,020313801E1
1,932059480E-1;2,206000090E0;5,050000191E0;8,604999542E0;1,021836364E1
1,956951930E-1;2,191999912E0;5,010000229E0;8,604999542E0;1,019563549E1
1,981844240E-1;2,127000093E0;4,926000118E0;8,621999741E0;1,015521965E1
2,006736550E-1;2,095999956E0;4,847000122E0;8,708000183E0;1,018410002E1
2,031625780E-1;1,797000051E0;4,848999977E0;8,600000381E0;1,003503944E1
2,056515780E-1;1,967000008E0;4,636000156E0;8,381999969E0;9,778522893E0
2,081407270E-1;1,919000030E0;4,712999821E0;8,357999802E0;9,785248546E0
2,106299580E-1;1,901999950E0;4,692999840E0;8,355999947E0;9,770598058E0
2,131191880E-1;1,904999971E0;4,606999874E0;8,357999802E0;9,731887454E0
2,156084190E-1;1,809000015E0;4,592999935E0;8,314999580E0;9,669919725E0
2,180974430E-1;1,705999970E0;4,539999962E0;8,260000229E0;9,578603204E0
2,205863660E-1;1,583999991E0;4,460999966E0;8,343999863E0;9,593326346E0
2,230755200E-1;1,442000031E0;4,331999779E0;8,253000259E0;9,431733640E0
2,255645200E-1;1,375000000E0;4,276999950E0;8,243000031E0;9,387779454E0
2,280534430E-1;1,307999969E0;4,269000053E0;8,166999817E0;9,307798418E0
2,305426160E-1;1,202999949E0;4,336999893E0;8,229000092E0;9,379404003E0
2,330318470E-1;1,154999971E0;4,183000088E0;8,192999840E0;9,271286914E0
2,355207700E-1;1,101999998E0;4,223999977E0;8,223999977E0;9,310787047E0
2,380096930E-1;1,011000037E0;4,315000057E0;8,281999588E0;9,393234999E0
